start_north,start_east,start_tvd,start_inc,start_azi,target_north,target_east,target_tvd,target_inc,target_azi,dls_limit,inc1,inc2,inc3,azi1,azi2,azi3,md_inc1,md_inc2,md_inc3
0,0,0,0,0,0,0,278.98286204978723,0,0,0.004400443672487719,0.0,0.0,0.0,0.0,0.0,0.0,92.90153935733923,92.90153935733923,92.90153935733923
0,0,0,0,0,0,0,2018.9588408290267,0,0,0.0017559848136250561,0.0,0.0,0.0,0.0,0.0,0.0,672.3236032792238,672.3236032792238,672.2946417101836
0,0,0,0,0,0,0,1049.7849257744315,0,0,0.0022149543442790145,0.0,0.0,0.0,0.0,0.0,0.0,349.5753850645017,349.5753850645017,349.5753850645017
0,0,0,0,0,0,0,1859.855645954705,0,0,0.0041937730043586224,0.0,0.0,0.0,0.0,0.0,0.0,619.3556853414188,619.3556853414188,619.286291969248
0,0,0,0,0,0,0,1993.3645271026176,0,0,0.0023490704877928517,0.0,0.0,0.0,0.0,0.0,0.0,663.7890083908231,663.7890083908231,663.7890083908231
0,0,0,0,0,0,0,1225.6709232924609,0,0,0.004388429370501216,0.0,0.0,0.0,0.0,0.0,0.0,408.14062800908977,408.14062800908977,408.14062800908977
0,0,0,0,0,0,0,895.5280709492772,0,0,0.0032144148666178435,0.0,0.0,0.0,0.0,0.0,0.0,298.2011551436787,298.2011551436787,298.2011551436787
0,0,0,0,0,0,0,1909.3880044687808,0,0,0.004362691089371776,0.0,0.0,0.0,0.0,0.0,0.0,635.8268072943496,635.8268072943496,635.8268265342833
0,0,0,0,0,0,0,1821.373810195738,0,0,0.0021012533804478056,0.0,0.0,0.0,0.0,0.0,0.0,606.5269738537243,606.5269738537243,606.5269738537243
0,0,0,0,0,0,0,974.73564701503,0,0,0.0019893646762852886,0.0,0.0,0.0,0.0,0.0,0.0,324.5738110974437,324.5738110974437,324.5738110974437
0,0,0,0,0,0,0,2042.1284625657065,0,0,0.004238070865709921,0.0,0.0,0.0,0.0,0.0,0.0,680.0438644329554,680.0438644329554,680.0006226634057
0,0,0,0,0,0,0,1900.0926334611559,0,0,0.002821837200849592,0.0,0.0,0.0,0.0,0.0,0.0,632.731471137421,632.731471137421,632.731471137421
